Process logged on : 2017 April 07 18:07:13. Message : Warning [Required key `type` not defined in package list.]
Process logged on : 2017 April 07 18:07:20. Message : Warning[Package  was not found.]
Process logged on : 2017 April 08 18:08:45. Message : Warning[Package app/app\Loader was not found.]
Process logged on : 2017 April 32 18:32:53. Message : Warning[Package app\apap was not found.]
Process logged on : 2017 April 48 05:48:19. Message : Warning[Package app\app\Interface was not found.]
Process logged on : 2017 May 27 12:27:29. Message : Warning[Package app\packages\View\Engine\Default\Interfaces was not found.]
Process logged on : 2017 May 56 12:56:33. Message : Warning[Package app\packages\View\Engines\Lite\src\Storage\Filters was not found.]
Process logged on : 2017 May 58 12:58:43. Message : Warning[Package app\packages\View\Engines\Lite\src\System\Module\Bag was not found.]
Process logged on : 2017 June 24 00:24:35. Message : Warning[Package app\packages\Http\Router\Interfaces was not found.]
Process logged on : 2017 June 59 00:59:28. Message : Warning[Package app\app\Interfaces was not found.]
Process logged on : 2017 June 33 22:33:10. Message : Warning[Package app\packages\DependencyInjection\vendor was not found.]
Process logged on : 2017 June 42 22:42:50. Message : Warning[Package app\packages\DependencyInjection\vendor\autoloadsd.php was not found.]
Process logged on : 2017 July 20 08:20:45. Message : Warning[Package app\packages\Http\autoload.php was not found.]
Process logged on : 2017 July 31 10:31:26. Message : Warning[Package app\packages\Http\Request\Interfaces was not found.]
Process logged on : 2017 July 23 14:23:43. Message : Warning[Package app\packages\Http\vendor\autoload.php was not found.]
Process logged on : 2017 July 23 14:23:52. Message : Warning[Package app\packages\Http\vendor\autoload.php was not found.]
Process logged on : 2017 July 08 15:08:16. Message : Warning[Package app\packages\Http\vendor\autoload.php was not found.]
Process logged on : 2017 August 49 14:49:02. Message : Warning[Package app\app\vendor\autoload was not found.]
Process logged on : 2017 August 49 14:49:16. Message : Warning[Package app\app\vendor\autoload was not found.]
Process logged on : 2017 August 49 14:49:40. Message : Warning[Package app\app\vendor\autoload.php was not found.]
